roleStereotype,metric,q1,q2,q3,mean
Controller,cbo,10.5,14.0,24.0,22.81578947368421
Controller,cboModified,25.5,34.5,46.0,47.05263157894737
Controller,fanin,10.5,19.5,27.5,24.236842105263158
Controller,fanout,10.5,14.0,24.0,22.81578947368421
Controller,wmc,28.0,42.0,145.0,144.28947368421052
Controller,dit,1.0,2.0,3.0,4.394736842105263
Controller,noc,0.0,0.0,0.0,0.18421052631578946
Controller,rfc,24.5,47.0,97.0,103.26315789473684
Controller,lcom*,0.7924020199999999,0.8553241,0.8946727,0.7875750910526317
Controller,tcc,0.14166667,0.24923077,0.32407406,0.2785977145675675
Controller,lcc,0.375,0.73333335,0.8888889,0.6263220001081081
Controller,totalMethodsQty,14.0,22.5,34.5,37.36842105263158
Controller,publicMethodsQty,8.5,17.0,22.5,21.31578947368421
Controller,privateMethodsQty,1.0,2.0,10.0,12.31578947368421
Controller,abstractMethodsQty,0.0,0.0,0.0,0.02631578947368421
Controller,finalMethodsQty,0.0,0.0,0.0,0.07894736842105263
Controller,totalFieldsQty,8.5,14.0,16.5,18.55263157894737
Controller,publicFieldsQty,0.0,0.0,0.0,0.07894736842105263
Controller,privateFieldsQty,8.5,13.5,16.5,18.473684210526315
Controller,finalFieldsQty,4.0,5.0,7.5,8.342105263157896
Controller,nosi,1.0,6.5,14.5,22.473684210526315
Controller,loc,140.0,240.0,700.5,789.8684210526316
Controller,returnQty,4.0,10.5,24.5,20.44736842105263
Controller,loopQty,0.0,2.0,15.5,13.973684210526315
Controller,comparisonsQty,6.0,14.5,42.0,44.973684210526315
Controller,tryCatchQty,0.0,0.0,0.0,2.236842105263158
Controller,parenthesizedExpsQty,0.0,1.0,9.5,12.473684210526315
Controller,stringLiteralsQty,0.0,1.5,6.0,28.5
Controller,numbersQty,2.0,9.5,41.5,82.10526315789474
Controller,assignmentsQty,17.0,39.5,130.0,124.63157894736842
Controller,mathOperationsQty,0.0,4.0,11.5,41.44736842105263
