file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,class,5,16,11,5,10,2,7,5,9,0.6666667,0.2,0.4,6,0,6,0,0,0,6,0,0,0,3,0,0,3,0,0,0,0,0,31,5,0,4,0,0,2,0,6,1,5,1,0,0,0,23,1025,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,class,4,6,2,4,9,1,0,21,6,0.70000005,0.33333334,0.33333334,5,4,3,2,0,0,3,0,0,0,4,4,0,4,0,0,3,0,5,32,5,1,2,0,0,6,2,6,3,6,1,0,0,0,84,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\nodes\NamedNode.java,ca.mcgill.cs.jetuml.diagram.nodes.NamedNode,class,3,21,18,3,3,3,8,3,0,0.0,1.0,1.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,1,0,0,0,0,2,0,3,0,2,0,0,0,2,20,1025,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\edges\UseCaseAssociationEdgeViewer.java,ca.mcgill.cs.jetuml.viewers.edges.UseCaseAssociationEdgeViewer,class,1,2,1,1,1,3,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\gui\EditorFrame.java,ca.mcgill.cs.jetuml.gui.EditorFrame,class,43,47,4,43,80,6,0,190,397,0.9084966,1.0,1.0,34,2,4,30,0,0,4,0,0,0,9,5,0,9,0,0,5,0,46,380,17,7,12,4,12,74,14,72,4,111,3,0,0,38,202,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\persistence\SerializationContext.java,ca.mcgill.cs.jetuml.persistence.SerializationContext,class,4,6,2,4,9,2,0,9,6,0.0,NaN,NaN,4,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,2,1,0,0,0,2,0,0,0,2,0,0,0,46,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\builder\SequenceDiagramBuilder.java,ca.mcgill.cs.jetuml.diagram.builder.SequenceDiagramBuilder,class,25,27,2,25,32,2,0,54,36,0.8888889,0.0,0.0,9,0,4,2,3,0,7,0,0,0,2,2,0,2,0,0,2,0,10,133,11,2,8,0,4,0,2,27,1,21,3,0,0,8,108,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\Node.java,ca.mcgill.cs.jetuml.diagram.Node,interface,4,69,65,4,18,1,0,0,153,0.0,0.0,0.0,18,0,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\gui\tips\TipFieldName.java,ca.mcgill.cs.jetuml.gui.tips.TipFieldName,enum,0,1,1,0,1,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\geom\Dimension.java,ca.mcgill.cs.jetuml.geom.Dimension,class,1,23,22,1,16,1,0,3,0,0.42857146,0.95238096,1.0,7,0,7,0,0,0,7,0,0,0,3,1,1,2,0,0,3,0,3,43,9,0,5,0,0,1,8,8,4,6,1,0,0,0,51,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\viewers\edges\SegmentationStyleFactory.java,ca.mcgill.cs.jetuml.viewers.edges.SegmentationStyleFactory,class,24,31,7,24,63,1,0,51,103,0.9466667,0.0,0.0,15,14,3,12,0,0,3,0,0,0,5,5,0,5,0,0,5,0,36,397,27,4,25,0,11,0,11,37,21,35,3,0,4,3,166,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\org\json\JSONException.java,org.json.JSONException,class,0,4,4,0,3,4,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\gui\AboutDialog.java,ca.mcgill.cs.jetuml.gui.AboutDialog,class,20,22,2,20,5,1,0,27,0,0.0,1.0,1.0,4,0,2,2,0,0,2,0,0,0,1,0,0,1,0,0,1,0,3,51,1,0,1,0,0,15,3,12,0,14,2,0,0,2,61,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\views\StringViewer.java,ca.mcgill.cs.jetuml.views.StringViewer$Align,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\gui\PropertySheet.java,ca.mcgill.cs.jetuml.gui.PropertySheet,class,28,30,2,28,33,6,0,59,19,0.78000003,0.33333334,0.33333334,10,1,3,7,0,0,3,0,0,0,5,3,0,5,0,0,5,0,3,139,18,1,8,1,1,5,8,19,1,32,3,0,1,5,115,1,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AssociationEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AssociationEdge,class,4,10,6,4,3,5,0,4,0,0.0,1.0,1.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,1,14,1,0,0,0,0,1,0,3,0,2,0,0,1,2,32,17,0
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\views\LineStyle.java,ca.mcgill.cs.jetuml.views.LineStyle,enum,1,7,6,1,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,0,2,1,0,1,0,0,0,0,21,1,0
