file,class,method,variable,usage
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,getStart/0,aStart,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,getDiagram/0,aDiagram,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,"connect/3[ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Diagram]",aEnd,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,"connect/3[ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Diagram]",aStart,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,"connect/3[ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Diagram]",aDiagram,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,getEnd/0,aEnd,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,clipApplicationExtension/1[java.io.File],EXTENSION_JET,2
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,forDiagramType/1[ca.mcgill.cs.jetuml.diagram.DiagramType],aExtensionFilters,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,all/0,FILTER_ALL,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,all/0,aExtensionFilters,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,all/0,FILTER_APPLICATION,1
