file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,getStart/0,false,48,1,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,getDiagram/0,false,60,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,clone/0,false,66,1,0,0,0,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,false
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,"connect/3[ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Diagram]",false,39,2,0,0,0,3,0,6,0,0,3,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,9,1,0,false
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,getEnd/0,false,54,1,4,4,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,toString/0,false,73,1,2,0,2,3,4,7,1,1,0,4,2,1,0,2,0,0,2,0,2,1,1,0,0,0,8,1,0,false
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,FileExtensions/0,true,51,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,clipApplicationExtension/1[java.io.File],false,101,0,1,1,0,3,4,7,2,0,1,4,0,0,0,1,0,0,0,1,0,1,1,0,0,0,34,9,0,true
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,forDiagramType/1[ca.mcgill.cs.jetuml.diagram.DiagramType],false,88,2,1,1,0,2,1,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32,9,0,true
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,all/0,false,70,1,2,2,0,1,10,6,1,1,0,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,32,9,0,true
