file,class,method,variable,usage
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,clone/0,clone,2
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,"connect/3[ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Diagram]",pStart,2
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,"connect/3[ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Diagram]",pEnd,2
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,"connect/3[ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Node,ca.mcgill.cs.jetuml.diagram.Diagram]",pDiagram,1
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\diagram\edges\AbstractEdge.java,ca.mcgill.cs.jetuml.diagram.edges.AbstractEdge,toString/0,result,2
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,clipApplicationExtension/1[java.io.File],pFile,5
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,forDiagramType/1[ca.mcgill.cs.jetuml.diagram.DiagramType],pDiagramType,2
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,all/0,result,3
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,createFilters/0,map,2
C:\Users\20215365\Documents\Research\Desktop\.\JetUML-3.1\src\ca\mcgill\cs\jetuml\application\FileExtensions.java,ca.mcgill.cs.jetuml.application.FileExtensions,createFilters/0,diagramType,3
