file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\file\OutsideRangeQueryResult.java,com.athaydes.logfx.file.OutsideRangeQueryResult,enum,0,2,2,0,6,1,0,0,4,0.4,0.3,0.3,5,0,4,0,0,1,5,0,0,0,1,0,0,1,0,0,1,0,0,17,4,0,1,0,0,0,2,1,0,1,0,0,0,0,28,1,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\Arrow.java,com.athaydes.logfx.ui.Arrow$Direction,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java-templates\com\athaydes\logfx\Constants.java,com.athaydes.logfx.Constants,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,1,0,0,0,0,15,1,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\concurrency\TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner,class,4,11,7,4,17,1,0,24,8,0.75,0.35714287,0.35714287,8,1,8,0,0,0,8,0,0,0,5,3,0,5,0,0,5,0,1,109,4,0,1,2,0,8,5,16,0,15,4,1,1,6,122,1,6
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\BottomMessagePane.java,com.athaydes.logfx.ui.BottomMessagePane,class,10,12,2,10,6,6,0,9,6,0.75,0.0,0.0,4,1,2,2,0,0,2,0,0,0,2,1,0,2,0,0,1,0,1,24,2,0,0,0,0,2,4,6,0,6,1,0,0,1,49,17,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\LogViewPane.java,com.athaydes.logfx.ui.LogViewPane$LogViewScrollPane,innerclass,8,8,0,8,7,6,0,11,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,4,3,0,3,2,0,0,2,16,10,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\log\LogTarget.java,com.athaydes.logfx.log.LogTarget$FileLogTarget,innerclass,2,2,0,2,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\concurrency\TaskRunner.java,com.athaydes.logfx.concurrency.TaskRunner$TaskState,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\config\ConfigProperties.java,com.athaydes.logfx.config.ConfigProperties,class,12,14,2,12,2,1,0,4,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,7,0,0,0,0,7,7,0,5,18,0,0,0,0,0,2,1,7,0,7,0,0,0,0,21,16,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\LogFxButton.java,com.athaydes.logfx.ui.LogFxButton,class,7,8,1,7,3,8,0,6,1,0.5,1.0,1.0,3,2,2,1,0,0,2,0,0,0,2,2,0,0,0,2,2,0,2,18,2,0,0,0,0,1,0,3,0,6,0,0,0,3,25,1,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\HighlightOptions.java,com.athaydes.logfx.ui.HighlightOptions$Row,innerclass,15,15,0,15,2,6,0,12,1,0.5,0.0,0.0,2,0,0,0,1,1,2,1,0,0,4,0,0,0,0,4,4,0,0,24,0,0,0,0,0,4,3,5,0,6,0,0,0,1,32,1034,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\concurrency\Cancellable.java,com.athaydes.logfx.concurrency.Cancellable,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\AboutLogFXView.java,com.athaydes.logfx.ui.AboutLogFXView,class,15,18,3,15,3,1,0,17,1,0.33333334,0.33333334,0.33333334,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,38,1,0,0,0,0,9,7,11,1,12,0,0,0,1,38,1,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\Dialog.java,com.athaydes.logfx.ui.Dialog,class,33,41,8,33,29,3,0,77,0,0.7894737,0.47953215,0.7017544,19,3,19,0,0,0,19,0,0,0,8,3,0,8,0,0,4,0,10,204,2,0,2,0,1,4,22,23,6,25,3,0,3,9,115,1,2
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\config\Config.java,com.athaydes.logfx.config.Config,class,21,23,2,21,19,1,0,56,0,0.4848485,0.0,0.0,11,1,8,3,0,0,8,0,0,0,3,1,0,3,0,0,3,0,13,112,7,2,0,2,0,32,1,14,11,23,3,0,0,16,96,1,3
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\config\ConfigParser.java,com.athaydes.logfx.config.ConfigParser$ConfigVersion,enum,0,0,0,0,2,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\file\UnsuccessfulQueryResult.java,com.athaydes.logfx.file.UnsuccessfulQueryResult,enum,0,1,1,0,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,1,1,0,0,0,0,0,0,0,22,0,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\file\FileLineStarts.java,com.athaydes.logfx.file.FileLineStarts,class,1,3,2,1,13,1,0,11,0,0.4375,0.71428573,0.71428573,8,0,1,1,0,6,7,0,0,0,2,0,0,2,0,0,2,0,0,46,5,1,0,0,0,3,3,3,2,3,1,0,0,2,34,0,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\LogViewPane.java,com.athaydes.logfx.ui.LogViewPane$FileDoesNotExistPane,innerclass,6,6,0,6,2,6,0,13,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,4,4,1,0,3,2,0,0,2,31,10,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\ui\LogLine.java,com.athaydes.logfx.ui.LogLine,class,17,19,2,17,6,9,0,13,10,0.0,0.0,0.0,5,0,1,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,2,56,0,0,0,0,0,3,0,1,0,1,1,0,1,0,39,0,0
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\file\FileReader.java,com.athaydes.logfx.file.FileReader,class,13,15,2,13,114,1,0,65,0,0.6666667,0.58181816,0.8181818,15,0,9,4,0,2,11,0,0,0,10,2,0,10,0,0,7,0,28,465,34,9,28,2,5,55,75,109,43,78,6,0,4,2,211,1,44
C:\Users\20215365\Documents\Research\Desktop\.\LogFX-0.9.1\src\main\java\com\athaydes\logfx\file\FileReader.java,com.athaydes.logfx.file.FileReader$SearchDirection,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
