file,class,method,variable,usage
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$BooleanHolder,getValue/0,value,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$BooleanHolder,setValue/1[boolean],value,3
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$BooleanHolder,BooleanHolder/1[boolean],value,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"processKeyBinding/4[javax.swing.KeyStroke,java.awt.event.KeyEvent,int,boolean]",attributeView,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"processKeyBinding/4[javax.swing.KeyStroke,java.awt.event.KeyEvent,int,boolean]",mLogger,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,getZoom/0,attributeView,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,isVisible/0,attributeView,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,changeSelectedRowHeight/1[int],highRowIndex,5
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,changeSelectedRowHeight/1[int],EXTRA_HEIGHT,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,setOptimalColumnWidths/0,dtcr,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,setOptimalColumnWidths/0,TABLE_ROW_HEIGHT,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,getPreferredScrollableViewportSize/0,MAX_HEIGTH,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,getPreferredScrollableViewportSize/0,MAX_WIDTH,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,getFontSize/0,attributeView,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"getCellRenderer/2[int,int]",dtcr,5
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,removeListenerFromEditor/0,focusListener,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,getAttributeView/0,attributeView,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,getDefaultComboBoxModel/0,defaultComboBoxModel,3
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,tableChanged/1[javax.swing.event.TableModelEvent],highRowIndex,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,AttributeTable/1[freemind.view.mindmapview.attributeview.AttributeView],attributeView,5
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,AttributeTable/1[freemind.view.mindmapview.attributeview.AttributeView],prefHeaderSize,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,AttributeTable/1[freemind.view.mindmapview.attributeview.AttributeView],mLogger,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,AttributeTable/1[freemind.view.mindmapview.attributeview.AttributeView],componentListener,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,AttributeTable/1[freemind.view.mindmapview.attributeview.AttributeView],focusListener,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,"prepareEditor/3[javax.swing.table.TableCellEditor,int,int]",focusListener,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,updateRowHeights/0,TABLE_ROW_HEIGHT,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,updateRowHeights/0,highRowIndex,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\view\mindmapview\attributeview\AttributeTable.java,freemind.view.mindmapview.attributeview.AttributeTable,updateRowHeights/0,EXTRA_HEIGHT,3
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,"DesEncrypter/2[java.lang.StringBuffer,java.lang.String]",mAlgorithm,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,"DesEncrypter/2[java.lang.StringBuffer,java.lang.String]",passPhrase,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,decrypt/1[java.lang.String],dcipher,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,decrypt/1[java.lang.String],SALT_PRESENT_INDICATOR,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,init/1[byte[]],ecipher,3
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,init/1[byte[]],iterationCount,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,init/1[byte[]],salt,3
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,init/1[byte[]],dcipher,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,init/1[byte[]],mAlgorithm,3
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,init/1[byte[]],passPhrase,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,encrypt/1[java.lang.String],ecipher,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,encrypt/1[java.lang.String],SALT_PRESENT_INDICATOR,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\main\Tools.java,freemind.main.Tools$DesEncrypter,encrypt/1[java.lang.String],SALT_LENGTH,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"isEnabled/2[javax.swing.JMenuItem,javax.swing.Action]",mMindMapController,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"isEnabled/2[javax.swing.JMenuItem,javax.swing.Action]",_hookName,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,getController/0,mMindMapController,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"invoke/2[freemind.modes.MindMapNode,java.util.List]",_hookName,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,getHookFactory/0,mMindMapController,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,actionPerformed/1[java.awt.event.ActionEvent],mMindMapController,4
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"NodeHookAction/2[java.lang.String,freemind.modes.mindmapmode.MindMapController]",mMindMapController,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"NodeHookAction/2[java.lang.String,freemind.modes.mindmapmode.MindMapController]",logger,2
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"NodeHookAction/2[java.lang.String,freemind.modes.mindmapmode.MindMapController]",_hookName,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,getHookName/0,_hookName,1
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"invoke/4[freemind.modes.MindMapNode,java.util.List,java.lang.String,freemind.main.XMLElement]",mMindMapController,8
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"invoke/4[freemind.modes.MindMapNode,java.util.List,java.lang.String,freemind.main.XMLElement]",logger,3
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"createHookNodeUndoAction/3[freemind.modes.MindMapNode,java.util.List,java.lang.String]",mMindMapController,3
C:\Users\20215365\Documents\Research\Desktop\.\freemind-src-1.0.0.tar\freemind\freemind\modes\mindmapmode\actions\NodeHookAction.java,freemind.modes.mindmapmode.actions.NodeHookAction,"createHookNodeUndoAction/3[freemind.modes.MindMapNode,java.util.List,java.lang.String]",logger,2
