Project Name,Package Name,Architecture Smell,Cause of the Smell
sweethome3d-5.6,com.eteks.sweethome3d.applet,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [AppletApplication; AppletContentManager; AppletUserPreferences; HomeAppletController; HomeAppletRecorder; LengthOutputStream]; [AppletFurnitureTable]; [StandaloneServiceManager; AppletBasicService]; [SweetHome3DApplet]; [SweetHome3DViewer]; [ViewerHelper]. LCC (Lack of Component Cohesion) = 0.5
sweethome3d-5.6,com.eteks.sweethome3d.applet,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.tools; com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d.applet,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d.applet,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.swing; com.eteks.sweethome3d.model.
sweethome3d-5.6,com.eteks.sweethome3d.applet,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.swing; com.eteks.sweethome3d.model; com.eteks.sweethome3d.io; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.67. All the dependencies among components: from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.swing; from: com.eteks.sweethome3d.applet to: com.eteks.sweethome3d.io; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.swing; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.io; from: com.eteks.sweethome3d to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.io to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.io to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.j3d to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.plugin to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.viewcontroller; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.tools; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.j3d; from: com.eteks.sweethome3d.swing to: com.eteks.sweethome3d.plugin; from: com.eteks.sweethome3d.tools to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.viewcontroller to: com.eteks.sweethome3d.model; from: com.eteks.sweethome3d.viewcontroller to: com.eteks.sweethome3d.tools.
sweethome3d-5.6,com.eteks.sweethome3d,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [HomeFrameController; HomeFramePane; LanguageChangeListener; MacOSXConfiguration; SweetHome3D; FileContentManagerWithRecordedLastDirectories; StandaloneSingleInstanceService]; [StandaloneServiceManager]; [StandaloneBasicService]; [SweetHome3DBootstrap]. LCC (Lack of Component Cohesion) = 0.4
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller.
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.tools; com.eteks.sweethome3d.swing.
sweethome3d-5.6,com.eteks.sweethome3d,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.eteks.sweethome3d.model; com.eteks.sweethome3d.viewcontroller; com.eteks.sweethome3d.tools.
