Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 35 methods
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletFurnitureTable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.applet,StandaloneServiceManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: InterruptedRecorderException; RecorderException in method deleteSelectedHome
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: InterruptedRecorderException; RecorderException in method deleteSelectedHome
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: InterruptedRecorderException; RecorderException in method chekHomeLengthAndSave
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HomePluginController
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: InterruptedRecorderException; RecorderException in method chekHomeLengthAndSave
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: editPreferences
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DViewer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: InterruptedRecorderException; RecorderException in method ViewerHelper
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: InterruptedRecorderException; RecorderException in method ViewerHelper
sweethome3d-5.6,com.eteks.sweethome3d.applet,ViewerHelper,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
sweethome3d-5.6,com.eteks.sweethome3d,HomeFrameController,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SweetHome3D; HomeFrameController; HomeFramePane; MacOSXConfiguration
sweethome3d-5.6,com.eteks.sweethome3d,HomeFramePane,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
sweethome3d-5.6,com.eteks.sweethome3d,LanguageChangeListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d,MacOSXConfiguration,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 43 public methods
sweethome3d-5.6,com.eteks.sweethome3d,SweetHome3D,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
sweethome3d-5.6,com.eteks.sweethome3d,FileContentManagerWithRecordedLastDirectories,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FileContentManager
sweethome3d-5.6,com.eteks.sweethome3d,StandaloneServiceManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d,StandaloneBasicService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d,SweetHome3DBootstrap,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
sweethome3d-5.6,com.eteks.sweethome3d,SweetHome3DBootstrap,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.io,Base64,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NO_OPTIONS; ENCODE; DECODE; GZIP; DONT_GUNZIP; DO_BREAK_LINES; URL_SAFE; ORDERED; MAX_LINE_LENGTH; EQUALS_SIGN; NEW_LINE; PREFERRED_ENCODING; WHITE_SPACE_ENC; EQUALS_SIGN_ENC; _STANDARD_ALPHABET; _STANDARD_DECODABET; _URL_SAFE_ALPHABET; _URL_SAFE_DECODABET; _ORDERED_ALPHABET; _ORDERED_DECODABET; encode; position; buffer; bufferLength; lineLength; breakLines; b4; suspendEncoding; options; decodabet
sweethome3d-5.6,com.eteks.sweethome3d.io,Base64,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OutputStream; Base64
sweethome3d-5.6,com.eteks.sweethome3d.io,ContentDigestManager,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method getContentDigest
sweethome3d-5.6,com.eteks.sweethome3d.io,ContentDigestManager,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method getContentDigest
sweethome3d-5.6,com.eteks.sweethome3d.io,ContentRecording,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
sweethome3d-5.6,com.eteks.sweethome3d.io,DamagedHomeIOException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultFurnitureCatalog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: keyPrefix; PLUGIN_FURNITURE_CATALOG_FAMILY; CONTRIBUTED_FURNITURE_CATALOG_FAMILY; ADDITIONAL_FURNITURE_CATALOG_FAMILY; libraries; pluginFurnitureCatalogUrlUpdates
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultFurnitureCatalog,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FurnitureCatalog
sweethome3d-5.6,com.eteks.sweethome3d.io,PropertyKey,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: keyPrefix
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultHomeOutputStream,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method writeHome
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultHomeOutputStream,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method writeHome
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultHomeOutputStream,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DefaultHomeOutputStream; HomeContentObjectsTracker; HomeObjectOutputStream
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeContentObjectsTracker,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: TemporaryURLContent; HomeURLContent; Content; URLContent; ResourceURLContent; SimpleURLContent in method replaceObject
sweethome3d-5.6,com.eteks.sweethome3d.io,HomeContentObjectsTracker,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: TemporaryURLContent; HomeURLContent; Content; URLContent; ResourceURLContent; SimpleURLContent in method replaceObject
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultPatternTexture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
sweethome3d-5.6,com.eteks.sweethome3d.io,DefaultTexturesCatalog,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: keyPrefix; PLUGIN_TEXTURES_CATALOG_FAMILY; ADDITIONAL_TEXTURES_CATALOG_FAMILY; libraries; pluginTexturesCatalogUrlUpdates
