Class,Role Stereotype,Design Smell,Cause of the Smell
com.eteks.sweethome3d.applet.AppletApplication,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.applet.AppletApplication,Interfacer,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 35 methods
com.eteks.sweethome3d.applet.AppletApplication$AppletFurnitureTable,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.applet.AppletApplication$StandaloneServiceManager,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.applet.AppletContentManager,#N/A,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: InterruptedRecorderException; RecorderException in method deleteSelectedHome
com.eteks.sweethome3d.applet.AppletContentManager,#N/A,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: InterruptedRecorderException; RecorderException in method deleteSelectedHome
com.eteks.sweethome3d.applet.AppletUserPreferences,Structurer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
com.eteks.sweethome3d.applet.HomeAppletController,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: InterruptedRecorderException; RecorderException in method chekHomeLengthAndSave
com.eteks.sweethome3d.applet.HomeAppletController,Controller,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): HomePluginController
com.eteks.sweethome3d.applet.HomeAppletController,Controller,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: InterruptedRecorderException; RecorderException in method chekHomeLengthAndSave
com.eteks.sweethome3d.applet.HomeAppletController,Controller,Rebellious Hierarchy,The tool detected the smell in this class because method(s) of this class reject the methods provided by its supertypes. The method(s) that reject the suptertype's method are: editPreferences
com.eteks.sweethome3d.applet.HomeAppletController,Controller,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
com.eteks.sweethome3d.applet.SweetHome3DApplet,Interfacer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.applet.SweetHome3DViewer,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.applet.ViewerHelper,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.applet.ViewerHelper,Service Provider,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: InterruptedRecorderException; RecorderException in method ViewerHelper
com.eteks.sweethome3d.applet.ViewerHelper,Service Provider,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: InterruptedRecorderException; RecorderException in method ViewerHelper
com.eteks.sweethome3d.applet.ViewerHelper,Service Provider,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 23 public methods
com.eteks.sweethome3d.HomeFrameController,Controller,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: SweetHome3D; HomeFrameController; HomeFramePane; MacOSXConfiguration
com.eteks.sweethome3d.HomeFramePane,#N/A,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): View
com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener,#N/A,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.MacOSXConfiguration,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 43 public methods
com.eteks.sweethome3d.SweetHome3D,Interfacer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 29 public methods
com.eteks.sweethome3d.SweetHome3D$FileContentManagerWithRecordedLastDirectories,Structurer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): FileContentManager
com.eteks.sweethome3d.SweetHome3D$StandaloneServiceManager,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.SweetHome3D$StandaloneBasicService,Service Provider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.SweetHome3DBootstrap,Controller,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
com.eteks.sweethome3d.SweetHome3DBootstrap,Controller,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
com.eteks.sweethome3d.io.Base64,Service Provider,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: NO_OPTIONS; ENCODE; DECODE; GZIP; DONT_GUNZIP; DO_BREAK_LINES; URL_SAFE; ORDERED; MAX_LINE_LENGTH; EQUALS_SIGN; NEW_LINE; PREFERRED_ENCODING; WHITE_SPACE_ENC; EQUALS_SIGN_ENC; _STANDARD_ALPHABET; _STANDARD_DECODABET; _URL_SAFE_ALPHABET; _URL_SAFE_DECODABET; _ORDERED_ALPHABET; _ORDERED_DECODABET; encode; position; buffer; bufferLength; lineLength; breakLines; b4; suspendEncoding; options; decodabet
com.eteks.sweethome3d.io.Base64,Service Provider,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: OutputStream; Base64
com.eteks.sweethome3d.io.ContentDigestManager,Controller,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: ResourceURLContent; URLContent; SimpleURLContent; HomeURLContent in method getContentDigest
