Class,Role Stereotype,Design Smells
com.eteks.sweethome3d.applet.AppletApplication,Interfacer,Unutilized Abstraction; Insufficient Modularization; 
com.eteks.sweethome3d.applet.AppletApplication$AppletFurnitureTable,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.applet.AppletApplication$StandaloneServiceManager,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.applet.AppletContentManager,#N/A,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.applet.AppletUserPreferences,Structurer,Insufficient Modularization; 
com.eteks.sweethome3d.applet.HomeAppletController,Controller,Unexploited Encapsulation; Broken Hierarchy; Missing Hierarchy; Rebellious Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.applet.SweetHome3DApplet,Interfacer,Unutilized Abstraction; 
com.eteks.sweethome3d.applet.SweetHome3DViewer,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.applet.ViewerHelper,Service Provider,Unutilized Abstraction; Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.HomeFrameController,Controller,Cyclically-dependent Modularization; 
com.eteks.sweethome3d.HomeFramePane,#N/A,Broken Hierarchy; 
com.eteks.sweethome3d.HomeFramePane$LanguageChangeListener,#N/A,Unutilized Abstraction; 
com.eteks.sweethome3d.MacOSXConfiguration,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.SweetHome3D,Interfacer,Insufficient Modularization; 
com.eteks.sweethome3d.SweetHome3D$FileContentManagerWithRecordedLastDirectories,Structurer,Broken Hierarchy; 
com.eteks.sweethome3d.SweetHome3D$StandaloneServiceManager,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.SweetHome3D$StandaloneBasicService,Service Provider,Unutilized Abstraction; 
com.eteks.sweethome3d.SweetHome3DBootstrap,Controller,Imperative Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.io.Base64,Service Provider,Deficient Encapsulation; Cyclically-dependent Modularization; 
com.eteks.sweethome3d.io.ContentDigestManager,Controller,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.io.ContentRecording,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.io.DamagedHomeIOException,Information Holder,Unutilized Abstraction; 
com.eteks.sweethome3d.io.DefaultFurnitureCatalog,Structurer,Deficient Encapsulation; Broken Hierarchy; 
com.eteks.sweethome3d.io.DefaultFurnitureCatalog$PropertyKey,Information Holder,Unnecessary Abstraction; 
com.eteks.sweethome3d.io.DefaultHomeOutputStream,Service Provider,Unexploited Encapsulation; Missing Hierarchy; Cyclically-dependent Modularization; 
com.eteks.sweethome3d.io.DefaultHomeOutputStream$HomeContentObjectsTracker,Service Provider,Unexploited Encapsulation; Missing Hierarchy; 
com.eteks.sweethome3d.io.DefaultPatternTexture,Information Holder,Unutilized Abstraction; 
com.eteks.sweethome3d.io.DefaultTexturesCatalog,Structurer,Deficient Encapsulation; Broken Hierarchy; 
com.eteks.sweethome3d.io.DefaultTexturesCatalog$PropertyKey,Information Holder,Unnecessary Abstraction; Unutilized Abstraction; 
com.eteks.sweethome3d.io.FileUserPreferences,Structurer,Deficient Encapsulation; Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.io.FileUserPreferences$PreferencesURLContent,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.io.HomeURLContent,Service Provider,Broken Hierarchy; 
com.eteks.sweethome3d.io.HomeXMLExporter,Service Provider,Unexploited Encapsulation; Missing Hierarchy; Insufficient Modularization; 
com.eteks.sweethome3d.io.HomeXMLExporter$PieceOfFurnitureExporter,Service Provider,Unutilized Abstraction; Unexploited Encapsulation; Broken Hierarchy; Missing Hierarchy; 
