Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Complex Conditional,The conditional expression OperatingSystem.isMacOSX() && (plugin2 || OperatingSystem.isJavaVersionGreaterOrEqual("1.7")) || OperatingSystem.isLinux() && System.getProperty("java.runtime.name"`"").startsWith("OpenJDK") is complex.,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Complex Method,Cyclomatic complexity of the method is 9,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Empty catch clause,The method has an empty catch block.,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Long Statement,The length of the statement "boolean plugin2=applet.getAppletContext() != null && applet.getAppletContext().getClass().getName().startsWith("sun.plugin2.applet.Plugin2Manager");" is 148.,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Long Statement,The length of the statement "if (OperatingSystem.isMacOSX() && (plugin2 || OperatingSystem.isJavaVersionGreaterOrEqual("1.7")) || OperatingSystem.isLinux() && System.getProperty("java.runtime.name"`"").startsWith("OpenJDK")) {" is 197.,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Long Statement,The length of the statement "applet.showStatus(String.format(memoryStatus`Math.round(100f * (runtime.totalMemory() - runtime.freeMemory()) / runtime.maxMemory())`runtime.maxMemory() / 1024 / 1024));" is 169.,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Magic Number,The method contains a magic number: 1000,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Magic Number,The method contains a magic number: 100f,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Magic Number,The method contains a magic number: 1024,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,Magic Number,The method contains a magic number: 1024,132
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,run,Long Statement,The length of the statement "applet.showStatus(String.format(memoryStatus`Math.round(100f * (runtime.totalMemory() - runtime.freeMemory()) / runtime.maxMemory())`runtime.maxMemory() / 1024 / 1024));" is 169.,201
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,run,Magic Number,The method contains a magic number: 1000,201
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,run,Magic Number,The method contains a magic number: 100f,201
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,run,Magic Number,The method contains a magic number: 1024,201
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,run,Magic Number,The method contains a magic number: 1024,201
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,actionPerformed,Long Statement,The length of the statement "applet.showStatus(String.format(memoryStatus`Math.round(100f * (runtime.totalMemory() - runtime.freeMemory()) / runtime.maxMemory())`runtime.maxMemory() / 1024 / 1024));" is 169.,209
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,actionPerformed,Magic Number,The method contains a magic number: 100f,209
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,actionPerformed,Magic Number,The method contains a magic number: 1024,209
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,actionPerformed,Magic Number,The method contains a magic number: 1024,209
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,destroy,Empty catch clause,The method has an empty catch block.,225
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getURLWithCodeBase,Empty catch clause,The method has an empty catch block.,283
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getURLStringWithCodeBase,Empty catch clause,The method has an empty catch block.,298
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createHomeController,Complex Conditional,The conditional expression printToPdfAction != null && getAppletBooleanParameter(this.applet`ENABLE_PRINT_TO_PDF) && !OperatingSystem.isMacOSX() is complex.,333
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createHomeController,Complex Method,Cyclomatic complexity of the method is 19,333
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createHomeController,Long Method,The method has 147 lines of code.,333
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createHomeController,Long Statement,The length of the statement "final HomeController controller=new HomeAppletController(home`AppletApplication.this`getViewFactory()`getContentManager()`getPluginManager()`newHomeEnabled`openEnabled`saveEnabled`saveAsEnabled`homeMaximumLength);" is 213.,333
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createHomeController,Long Statement,The length of the statement "if (component instanceof AbstractButton && ((AbstractButton)component).getAction().getValue(PluginAction.Property.TOOL_BAR.name()) == Boolean.TRUE) {" is 149.,333
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createHomeController,Long Statement,The length of the statement "Action exportToSH3DAction=new ControllerAction(getUserPreferences()`AppletApplication.class`"EXPORT_TO_SH3D"`controller`"exportToSH3D");" is 136.,333
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createHomeController,Long Statement,The length of the statement "Action importFromSH3DAction=new ControllerAction(getUserPreferences()`AppletApplication.class`"IMPORT_FROM_SH3D"`controller`"importFromSH3D");" is 142.,333
