Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,AppletApplication,75,9,1,132,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,collectionChanged,27,5,1,167,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,run,17,3,0,201,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,actionPerformed,7,2,1,209,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,destroy,20,4,0,225,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,isModified,8,3,0,256,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getURLs,11,3,2,268,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getURLWithCodeBase,10,2,2,283,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getURLStringWithCodeBase,10,2,2,298,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getAppletParameter,9,2,3,312,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getAppletBooleanParameter,3,1,2,325,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,createHomeController,147,19,1,333,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,propertyChange,8,2,1,485,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,addEnabledActionToToolBar,6,2,3,527,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,addActionToToolBar,6,2,3,537,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getToolBarAction,4,1,2,547,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,addActionToToolBar,16,2,2,557,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getInsets,6,1,0,564,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,addToggleActionToToolBar,22,3,3,577,0
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,getInsets,6,1,0,587,0
