Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.eteks.sweethome3d.viewcontroller.HomeController; com.eteks.sweethome3d.swing.MenuItemAction
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 31
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (destroy) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.j3d.TextureManager.getInstance; com.eteks.sweethome3d.j3d.TextureManager.clear
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (destroy) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.j3d.ModelManager.getInstance; com.eteks.sweethome3d.j3d.ModelManager.clear
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (destroy) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.swing.IconManager.getInstance; com.eteks.sweethome3d.swing.IconManager.clear
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (createHomeController) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.viewcontroller.HomeController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.setEnabled
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (createHomeController) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.viewcontroller.HomeController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.setEnabled
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (createHomeController) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.viewcontroller.HomeController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.setEnabled
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (createHomeController) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.viewcontroller.HomeController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.setEnabled
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (createHomeController) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.viewcontroller.HomeController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.setEnabled
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (createHomeController) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.viewcontroller.HomeController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.setEnabled
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (createHomeController) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.viewcontroller.HomeController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.setEnabled
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,Law of Demeter violation,The tool detected the smell in this method (addComponent3DRenderingErrorObserver) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.j3d.Component3DManager.getInstance; com.eteks.sweethome3d.j3d.Component3DManager.setRenderingErrorObserver
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,Law of Demeter violation,The tool detected the smell in this method (AppletUserPreferences) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.model.UserPreferences.getWallPattern; com.eteks.sweethome3d.model.TextureImage.getName
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,Law of Demeter violation,The tool detected the smell in this method (AppletUserPreferences) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.model.UserPreferences.getNewWallPattern; com.eteks.sweethome3d.model.TextureImage.getName
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,Law of Demeter violation,The tool detected the smell in this method (write) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.model.UserPreferences.getWallPattern; com.eteks.sweethome3d.model.TextureImage.getName
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.eteks.sweethome3d.swing.FileContentManager; com.eteks.sweethome3d.model.Home; com.eteks.sweethome3d.io.HomeFileRecorder
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 18
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Law of Demeter violation,The tool detected the smell in this method (chekHomeLengthAndSave) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.applet.HomeAppletController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.invokeLater
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Law of Demeter violation,The tool detected the smell in this method (chekHomeLengthAndSave) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.applet.HomeAppletController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.showError
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Law of Demeter violation,The tool detected the smell in this method (chekHomeLengthAndSave) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.applet.HomeAppletController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.showError
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Law of Demeter violation,The tool detected the smell in this method (call) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.applet.HomeAppletController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.invokeLater
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Law of Demeter violation,The tool detected the smell in this method (call) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.applet.HomeAppletController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.showError
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Law of Demeter violation,The tool detected the smell in this method (run) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.applet.HomeAppletController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.showError
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,Law of Demeter violation,The tool detected the smell in this method (handleException) because the method voilates the law of Demeter. The long chain of method invocations is : com.eteks.sweethome3d.applet.HomeAppletController.getView; com.eteks.sweethome3d.viewcontroller.HomeView.showError
