Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletApplication,38,0,35,17,650,94,0,1,0.2571428571428571,0,31,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\AppletApplication.java,94
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletFurnitureTable,3,0,3,2,33,5,0,3,1.0,0,6,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\AppletApplication.java,791
sweethome3d-5.6,com.eteks.sweethome3d.applet,StandaloneServiceManager,1,0,3,3,20,4,0,0,0.6666666666666666,0,1,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\AppletApplication.java,834
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletBasicService,2,0,5,5,24,5,0,0,0.6,1,0,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\AppletApplication.java,859
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletContentManager,3,0,14,12,207,35,0,2,0.42857142857142855,1,8,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\AppletContentManager.java,53
sweethome3d-5.6,com.eteks.sweethome3d.applet,AppletUserPreferences,30,0,27,23,403,63,0,1,0.4074074074074074,1,9,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\AppletUserPreferences.java,60
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletController,11,0,28,25,0,66,0,3,0.25,1,18,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\HomeAppletController.java,47
sweethome3d-5.6,com.eteks.sweethome3d.applet,HomeAppletRecorder,8,0,13,11,268,26,0,1,0.0,1,6,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\HomeAppletRecorder.java,42
sweethome3d-5.6,com.eteks.sweethome3d.applet,LengthOutputStream,1,0,2,2,12,2,0,0,0.0,1,0,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\HomeAppletRecorder.java,332
sweethome3d-5.6,com.eteks.sweethome3d.applet,SweetHome3DApplet,1,0,12,3,208,30,0,0,0.0,0,0,D:\Research\Desktop\.\sources\sweethome3d-5.6\src\com\eteks\sweethome3d\applet\SweetHome3DApplet.java,45
